blockTime,mint,delta_raw,fee_lamports
1771803752,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,7149756649,111277
1771803703,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,3129898268,41051
1771803633,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-8665285473795,51797
1771803614,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,8665285473795,1005000
1771801955,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-3859522335,5000
1771801955,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-9314057533,5000
1771801909,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,13173601252,165813
1771801038,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-1731768944902,19056
1771801027,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,1731768944902,80000
1771791621,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-4366419093526,35838
1771791498,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,4366419093526,80000
1771770487,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-9189574299693,31286
1771770461,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,9189574299693,80000
1771752557,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-19545760470,10550
1771752534,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,8598705721,5000
1771752534,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2979521038,5000
1771752534,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,4889868144,5000
1771752534,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2476785360,5000
1771752277,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,161350006,15238
1771752277,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,439530046,14723
